team,power
Virginia,92
Gonzaga,85
Duke,100
North Carolina,96
Michigan State,95
Michigan,60
Tennessee,69
Kentucky,70
Houston,55
Florida State,60
Kansas,45
LSU,10
Texas Tech,50
Purdue,25
Wisconsin,20
Buffalo,10
Kansas State,10
Auburn,22
Virginia Tech,15
Villanova,25
Maryland,10
Wofford,15
Mississippi State,18
Iowa State,23
Cincinnati,16
Nevada,12
Marquette,15
Louisville,10
Washington,4
Iowa,5
Oklahoma,4
UCF,4
Utah State,8
Minnesota,5
Seton Hall,7
Syracuse,6
Temple,4
Ole Miss,5
VCU,7
New Mexico State,5
Baylor,5
Arizona State,8
St. John's,4
Ohio State,4
St. Mary's,6
Murray State,12
Oregon,10
Belmont,7
Florida,5
UC Irvine,4
Liberty,3
Vermont,2
Yale,2
Northeastern,1
Georgia State,1
Old Dominion,1
Northern Kentucky,1
St. Louis,1
Montana,0.5
Abilene Christian,0.4
Colgate,0.4
Gardner-Webb,0.05
Prairie View,0.2
Bradley,0.3
North Dakota State,0.01
Fairleigh Dickinson,0.2
Iona,0.05
NC Central,0.02
